number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_lr,params_momentum,params_weight_decay,state
33,0.45966666666666667,2025-11-10 14:09:08.471979,2025-11-10 14:10:03.685782,0 days 00:00:55.213803,44,32,0.03976236839041696,0.8100236605923696,0.0005535535659869812,PRUNED
34,0.5479333333333334,2025-11-10 14:10:03.690822,2025-11-10 14:11:56.728484,0 days 00:01:53.037662,31,32,0.01238284316389053,0.8496866387369094,0.00029632717417963343,PRUNED
35,0.4125,2025-11-10 14:11:56.733301,2025-11-10 14:12:52.266832,0 days 00:00:55.533531,35,32,0.06283846480404118,0.8649148386398836,5.851879132799209e-05,PRUNED
36,0.4385,2025-11-10 14:12:52.272853,2025-11-10 14:13:33.646526,0 days 00:00:41.373673,39,64,0.00092563101826353,0.8120805257756213,0.0017904044452733585,PRUNED
37,0.45663333333333334,2025-11-10 14:13:33.651552,2025-11-10 14:13:54.241590,0 days 00:00:20.590038,34,256,0.020623240394003664,0.828638559313429,0.0029362763377517535,PRUNED
38,0.4149333333333333,2025-11-10 14:13:54.247009,2025-11-10 14:14:51.441724,0 days 00:00:57.194715,49,32,0.03432111691567691,0.9656685638922134,1.0399056414336244e-05,PRUNED
39,0.31103333333333333,2025-11-10 14:14:51.447582,2025-11-10 14:15:18.986607,0 days 00:00:27.539025,37,128,0.00025273321411546266,0.8413689733060681,0.00015783517252575445,PRUNED
40,0.48936666666666667,2025-11-10 14:15:18.991580,2025-11-10 14:16:00.184362,0 days 00:00:41.192782,27,64,0.009803797035987988,0.8106305430669845,0.007196291679782383,PRUNED
41,0.7428666666666667,2025-11-10 14:16:00.189142,2025-11-10 15:03:08.625873,0 days 00:47:08.436731,42,32,0.01752860176033358,0.8089622884798531,9.936691677629362e-05,COMPLETE
42,0.7438,2025-11-10 15:03:08.631899,2025-11-10 15:49:52.826749,0 days 00:46:44.194850,41,32,0.03872929629350597,0.8018904110097436,8.497976544274918e-05,COMPLETE
43,0.4536,2025-11-10 15:49:52.834189,2025-11-10 15:50:49.093734,0 days 00:00:56.259545,38,32,0.07249710487596979,0.8013608775967423,0.00040905606146385417,PRUNED
44,0.4512,2025-11-10 15:50:49.098704,2025-11-10 15:51:45.216982,0 days 00:00:56.118278,40,32,0.027741300460836425,0.8261030600842476,5.321273246569954e-05,PRUNED
45,0.4492333333333333,2025-11-10 15:51:45.221450,2025-11-10 15:52:41.627907,0 days 00:00:56.406457,33,32,0.0453493532764337,0.8143445609584326,1.9425147074906705e-05,PRUNED
46,0.342,2025-11-10 15:52:41.632458,2025-11-10 15:53:36.995168,0 days 00:00:55.362710,44,32,0.09746349303755757,0.9173375470414153,0.0036138809373118925,PRUNED
47,0.4529666666666667,2025-11-10 15:53:37.000146,2025-11-10 15:53:56.497828,0 days 00:00:19.497682,42,256,0.035331860582048444,0.8462760814566381,0.00010644419949040283,PRUNED
48,0.4788,2025-11-10 15:53:56.502256,2025-11-10 15:54:52.809904,0 days 00:00:56.307648,45,32,0.005018145469599715,0.8045984080393405,0.00031496747168546893,PRUNED
49,0.48686666666666667,2025-11-10 15:54:52.816157,2025-11-10 15:55:48.623229,0 days 00:00:55.807072,32,32,0.01548805245357437,0.8328861758356589,5.903223196466876e-05,PRUNED
