number,value,datetime_start,datetime_complete,duration,params_T_max,params_batch_size,params_lr,params_momentum,params_weight_decay,state
29,0.4681666666666667,2025-11-06 16:55:54.478042,2025-11-06 16:56:35.645591,0 days 00:00:41.167549,28,64,0.0007681163690836353,0.9464352403793166,0.0006956723408113204,PRUNED
30,0.7044,2025-11-06 16:56:35.651626,2025-11-06 17:31:05.920666,0 days 00:34:30.269040,22,64,0.002928755927367766,0.9601120789980295,0.003844322227093823,COMPLETE
31,0.48156666666666664,2025-11-06 17:31:05.927064,2025-11-06 17:31:48.347607,0 days 00:00:42.420543,21,64,0.0027996672693207003,0.9632186036333275,0.0032450930663083023,PRUNED
32,0.4822666666666667,2025-11-06 17:31:48.353421,2025-11-06 17:32:30.068882,0 days 00:00:41.715461,23,64,0.0013821353100693596,0.9783356457915023,0.0053705457059902385,PRUNED
33,0.6964666666666667,2025-11-06 17:32:30.075418,2025-11-06 18:07:45.732860,0 days 00:35:15.657442,26,64,0.004365120201256179,0.95121074186042,0.0018035774487791536,COMPLETE
34,0.3988333333333333,2025-11-06 18:07:45.740384,2025-11-06 18:08:06.555719,0 days 00:00:20.815335,22,256,0.020380559651432407,0.925557472364824,0.009936825368076711,PRUNED
35,0.4775,2025-11-06 18:08:06.565854,2025-11-06 18:08:48.555455,0 days 00:00:41.989601,26,64,0.00878082905157145,0.9408616424741973,0.0018442484985149033,PRUNED
36,0.3904,2025-11-06 18:08:48.560336,2025-11-06 18:09:30.019070,0 days 00:00:41.458734,24,64,0.0317573491886611,0.9571557284781638,0.004639338539209444,PRUNED
37,0.4145,2025-11-06 18:09:30.025110,2025-11-06 18:10:31.743806,0 days 00:01:01.718696,27,32,0.004894722457808539,0.9831717842556025,0.003204178290997695,PRUNED
38,0.40786666666666666,2025-11-06 18:10:31.749113,2025-11-06 18:11:00.282408,0 days 00:00:28.533295,23,128,0.00034103074877681896,0.9498211632562996,3.599364205524062e-05,PRUNED
39,0.4417,2025-11-06 18:11:00.287712,2025-11-06 18:11:19.416517,0 days 00:00:19.128805,22,256,0.0023345648101115645,0.9336027365796861,0.0010318744717473754,PRUNED
40,0.3836333333333333,2025-11-06 18:11:19.420946,2025-11-06 18:12:15.739787,0 days 00:00:56.318841,28,32,0.012573474742677884,0.9677913837931846,0.0064842052718027616,PRUNED
41,0.3843666666666667,2025-11-06 18:12:15.745080,2025-11-06 18:12:56.533045,0 days 00:00:40.787965,30,64,0.0038749070029227986,0.986621273370553,0.0005482367133869777,PRUNED
42,0.4340333333333333,2025-11-06 18:12:56.539855,2025-11-06 18:13:37.620495,0 days 00:00:41.080640,32,64,0.006946957539143813,0.9654562893342377,0.0009352282934924036,PRUNED
43,0.47476666666666667,2025-11-06 18:13:37.625185,2025-11-06 18:14:18.917757,0 days 00:00:41.292572,25,64,0.0023669257904530977,0.9756031794427289,0.00024130928116257864,PRUNED
44,0.43756666666666666,2025-11-06 18:14:18.923888,2025-11-06 18:15:00.791283,0 days 00:00:41.867395,34,64,0.0005676175724307755,0.8574880816122219,0.00166887534570943,PRUNED
45,0.4648,2025-11-06 18:15:00.797670,2025-11-06 18:15:29.310094,0 days 00:00:28.512424,20,128,0.0009919366649331744,0.9568789176113854,0.002584604826675924,PRUNED
46,0.4723333333333333,2025-11-06 18:15:29.315530,2025-11-06 18:16:10.026445,0 days 00:00:40.710915,24,64,0.0012420441909322816,0.9422210226115508,0.0011111048784702298,PRUNED
47,0.4767,2025-11-06 18:16:10.031138,2025-11-06 18:17:07.875700,0 days 00:00:57.844562,29,32,0.00040400261501590776,0.9899272218289888,0.002109195035637175,PRUNED
48,0.3394,2025-11-06 18:17:07.880723,2025-11-06 18:17:49.334569,0 days 00:00:41.453846,38,64,0.00019756014067578387,0.8318195316349417,1.0346913449738906e-05,PRUNED
49,0.5583666666666667,2025-11-06 18:17:49.341489,2025-11-06 18:19:45.582041,0 days 00:01:56.240552,21,32,0.003008396728232285,0.9123865233885917,0.004196560883585487,PRUNED
